schedule,chunksize,num_threads,loop,time
static,2,6,1,0.034133
static,2,6,2,0.181536
static,2,6,1,0.034118
static,2,6,2,0.183204
static,2,6,1,0.034084
static,2,6,2,0.181424
static,2,6,1,0.034111
static,2,6,2,0.181412
static,2,6,1,0.034105
static,2,6,2,0.182711
static,2,6,1,0.034076
static,2,6,2,0.181414
static,2,6,1,0.034114
static,2,6,2,0.181479
static,2,6,1,0.034123
static,2,6,2,0.184117
static,2,6,1,0.034260
static,2,6,2,0.181383
static,2,6,1,0.034134
static,2,6,2,0.181422
static,2,12,1,0.018153
static,2,12,2,0.108805
static,2,12,1,0.018140
static,2,12,2,0.107304
static,2,12,1,0.018164
static,2,12,2,0.107302
static,2,12,1,0.018165
static,2,12,2,0.107260
static,2,12,1,0.018209
static,2,12,2,0.107287
static,2,12,1,0.018193
static,2,12,2,0.107827
static,2,12,1,0.018173
static,2,12,2,0.107353
static,2,12,1,0.018173
static,2,12,2,0.108730
static,2,12,1,0.018171
static,2,12,2,0.107256
static,2,12,1,0.018174
static,2,12,2,0.107379
static,2,12,1,0.018159
static,2,12,2,0.107352
static,2,12,1,0.018176
static,2,12,2,0.107294
static,2,12,1,0.018164
static,2,12,2,0.107255
static,2,12,1,0.018156
static,2,12,2,0.107372
static,2,12,1,0.018176
static,2,12,2,0.107356
static,2,12,1,0.018182
static,2,12,2,0.107419
static,2,12,1,0.018186
static,2,12,2,0.107739
static,2,12,1,0.018149
static,2,12,2,0.107336
static,2,12,1,0.018175
static,2,12,2,0.108918
static,2,12,1,0.018129
static,2,12,2,0.107346
static,2,24,1,0.010215
static,2,24,2,0.053825
static,2,24,1,0.010095
static,2,24,2,0.053886
static,2,24,1,0.010170
static,2,24,2,0.053851
static,2,24,1,0.010193
static,2,24,2,0.053848
static,2,24,1,0.010217
static,2,24,2,0.053840
static,2,24,1,0.010229
static,2,24,2,0.053800
static,2,24,1,0.010189
static,2,24,2,0.053856
static,2,24,1,0.010186
static,2,24,2,0.053822
static,2,24,1,0.010242
static,2,24,2,0.053825
static,2,24,1,0.010162
static,2,24,2,0.053883
static,2,24,1,0.010248
static,2,24,2,0.053831
static,2,24,1,0.010154
static,2,24,2,0.053792
static,2,24,1,0.010164
static,2,24,2,0.053821
static,2,24,1,0.010259
static,2,24,2,0.053845
static,2,24,1,0.010354
static,2,24,2,0.053843
static,2,24,1,0.010142
static,2,24,2,0.053825
static,2,24,1,0.010157
static,2,24,2,0.053856
static,2,24,1,0.010195
static,2,24,2,0.053816
static,2,24,1,0.010298
static,2,24,2,0.053871
static,2,24,1,0.010202
static,2,24,2,0.053849
static,4,1,1,0.170965
static,4,1,2,0.499144
static,4,1,1,0.170857
static,4,1,2,0.500678
static,4,1,1,0.170931
static,4,1,2,0.501705
static,4,1,1,0.170876
static,4,1,2,0.526084
static,4,1,1,0.171106
static,4,1,2,0.504810
static,4,1,1,0.171124
static,4,1,2,0.504358
static,4,1,1,0.171368
static,4,1,2,0.505609
static,4,1,1,0.170986
static,4,1,2,0.504251
static,4,1,1,0.171184
static,4,1,2,0.504192
static,4,1,1,0.171130
static,4,1,2,0.497187
static,4,1,1,0.171031
static,4,1,2,0.497961
static,4,1,1,0.170890
static,4,1,2,0.499618
static,4,1,1,0.170873
static,4,1,2,0.500542
static,4,1,1,0.170904
static,4,1,2,0.504863
static,4,1,1,0.170682
static,4,1,2,0.504479
static,4,1,1,0.171320
static,4,1,2,0.504150
static,4,1,1,0.171103
static,4,1,2,0.504038
static,4,1,1,0.170953
static,4,1,2,0.496063
static,4,1,1,0.171064
static,4,1,2,0.498490
static,4,1,1,0.170910
static,4,1,2,0.500342
static,4,2,1,0.088362
static,4,2,2,0.262926
static,4,2,1,0.088333
static,4,2,2,0.263157
static,4,2,1,0.088633
static,4,2,2,0.263956
static,4,2,1,0.088904
static,4,2,2,0.263498
static,4,2,1,0.088360
static,4,2,2,0.263265
static,4,2,1,0.088533
static,4,2,2,0.263972
static,4,2,1,0.088721
static,4,2,2,0.265457
static,4,2,1,0.088798
static,4,2,2,0.263243
static,4,2,1,0.088333
static,4,2,2,0.263241
static,4,2,1,0.088343
static,4,2,2,0.262939
static,4,2,1,0.088510
static,4,2,2,0.263333
static,4,2,1,0.088433
static,4,2,2,0.263341
static,4,2,1,0.088443
static,4,2,2,0.263596
static,4,2,1,0.088342
static,4,2,2,0.262973
static,4,2,1,0.088423
static,4,2,2,0.262918
static,4,2,1,0.088402
static,4,2,2,0.263483
static,4,2,1,0.088415
static,4,2,2,0.264494
static,4,2,1,0.088384
static,4,2,2,0.262928
static,4,2,1,0.088475
static,4,2,2,0.263222
static,4,2,1,0.088496
static,4,2,2,0.263257
static,4,3,1,0.061156
static,4,3,2,0.207534
static,4,3,1,0.061174
static,4,3,2,0.207143
static,4,3,1,0.061233
static,4,3,2,0.207248
static,4,3,1,0.061363
static,4,3,2,0.207453
static,4,3,1,0.061333
static,4,3,2,0.207697
static,4,3,1,0.061521
static,4,3,2,0.207210
static,4,3,1,0.061230
static,4,3,2,0.207464
static,4,3,1,0.061155
static,4,3,2,0.207462
static,4,3,1,0.061142
static,4,3,2,0.207265
static,4,3,1,0.061856
static,4,3,2,0.209159
static,4,3,1,0.061173
static,4,3,2,0.207194
static,4,3,1,0.061149
static,4,3,2,0.207136
static,4,3,1,0.061156
static,4,3,2,0.207469
static,4,3,1,0.061190
static,4,3,2,0.207594
static,4,3,1,0.061206
static,4,3,2,0.207246
static,4,3,1,0.061659
static,4,3,2,0.207346
static,4,3,1,0.061312
static,4,3,2,0.207506
static,4,3,1,0.061144
static,4,3,2,0.207275
static,4,3,1,0.061736
static,4,3,2,0.209024
static,4,3,1,0.061173
static,4,3,2,0.207166
static,4,6,1,0.034331
static,4,6,2,0.122885
static,4,6,1,0.034232
static,4,6,2,0.122778
static,4,6,1,0.034217
static,4,6,2,0.122930
static,4,6,1,0.034261
static,4,6,2,0.122834
static,4,6,1,0.034379
static,4,6,2,0.122781
static,4,6,1,0.034218
static,4,6,2,0.122990
static,4,6,1,0.034213
static,4,6,2,0.122917
static,4,6,1,0.034362
static,4,6,2,0.122859
static,4,6,1,0.034227
static,4,6,2,0.122858
static,4,6,1,0.034216
static,4,6,2,0.122879
static,4,6,1,0.034204
static,4,6,2,0.122833
static,4,6,1,0.034280
static,4,6,2,0.122910
static,4,6,1,0.034223
static,4,6,2,0.122849
static,4,6,1,0.034229
static,4,6,2,0.122890
static,4,6,1,0.034249
static,4,6,2,0.122951
static,4,6,1,0.034232
static,4,6,2,0.122844
static,4,6,1,0.034221
static,4,6,2,0.122866
static,4,6,1,0.034207
static,4,6,2,0.122807
static,4,6,1,0.034384
static,4,6,2,0.123033
static,4,6,1,0.034227
static,4,6,2,0.123032
static,4,12,1,0.018583
static,4,12,2,0.072699
static,4,12,1,0.018663
static,4,12,2,0.072621
static,4,12,1,0.018579
static,4,12,2,0.072697
static,4,12,1,0.018557
static,4,12,2,0.072648
static,4,12,1,0.018683
static,4,12,2,0.072672
static,4,12,1,0.018562
static,4,12,2,0.072672
static,4,12,1,0.018584
static,4,12,2,0.072727
static,4,12,1,0.018569
static,4,12,2,0.072664
static,4,12,1,0.018704
static,4,12,2,0.072726
static,4,12,1,0.018591
static,4,12,2,0.072560
static,4,12,1,0.018610
static,4,12,2,0.072724
static,4,12,1,0.018637
static,4,12,2,0.072694
static,4,12,1,0.018570
static,4,12,2,0.072696
static,4,12,1,0.018592
static,4,12,2,0.072681
static,4,12,1,0.018608
static,4,12,2,0.072704
static,4,12,1,0.018578
static,4,12,2,0.072719
static,4,12,1,0.018676
static,4,12,2,0.072707
static,4,12,1,0.018588
static,4,12,2,0.072716
static,4,12,1,0.018566
static,4,12,2,0.072533
static,4,12,1,0.018592
static,4,12,2,0.072736
static,4,24,1,0.010696
static,4,24,2,0.054476
static,4,24,1,0.010607
static,4,24,2,0.054604
static,4,24,1,0.010712
static,4,24,2,0.054600
static,4,24,1,0.010738
static,4,24,2,0.054588
static,4,24,1,0.010615
static,4,24,2,0.054623
static,4,24,1,0.010550
static,4,24,2,0.054558
static,4,24,1,0.010711
static,4,24,2,0.054595
static,4,24,1,0.010572
static,4,24,2,0.054519
static,4,24,1,0.010648
static,4,24,2,0.054559
static,4,24,1,0.010660
static,4,24,2,0.054512
static,4,24,1,0.010688
static,4,24,2,0.054591
static,4,24,1,0.010751
static,4,24,2,0.054504
static,4,24,1,0.010603
static,4,24,2,0.054517
static,4,24,1,0.010634
static,4,24,2,0.054572
static,4,24,1,0.010576
static,4,24,2,0.054632
static,4,24,1,0.010617
static,4,24,2,0.054546
static,4,24,1,0.010732
static,4,24,2,0.054537
static,4,24,1,0.010653
static,4,24,2,0.054498
static,4,24,1,0.010746
static,4,24,2,0.054588
static,4,24,1,0.010621
static,4,24,2,0.054583
static,8,1,1,0.170763
static,8,1,2,0.498460
static,8,1,1,0.170656
static,8,1,2,0.500354
static,8,1,1,0.170752
static,8,1,2,0.501874
static,8,1,1,0.170710
static,8,1,2,0.502819
static,8,1,1,0.170729
static,8,1,2,0.504291
static,8,1,1,0.170889
static,8,1,2,0.504006
static,8,1,1,0.171010
static,8,1,2,0.503895
static,8,1,1,0.170872
static,8,1,2,0.504150
static,8,1,1,0.170817
static,8,1,2,0.497423
static,8,1,1,0.171047
static,8,1,2,0.497307
static,8,1,1,0.170820
static,8,1,2,0.498002
static,8,1,1,0.170696
static,8,1,2,0.500256
static,8,1,1,0.170704
static,8,1,2,0.501220
static,8,1,1,0.170739
static,8,1,2,0.503155
static,8,1,1,0.170738
static,8,1,2,0.504825
static,8,1,1,0.170799
static,8,1,2,0.528692
static,8,1,1,0.171084
static,8,1,2,0.505422
static,8,1,1,0.171043
static,8,1,2,0.504192
static,8,1,1,0.170764
static,8,1,2,0.496015
static,8,1,1,0.171037
static,8,1,2,0.496198
static,8,2,1,0.088869
static,8,2,2,0.266614
static,8,2,1,0.088722
static,8,2,2,0.269309
static,8,2,1,0.088730
static,8,2,2,0.266342
static,8,2,1,0.088832
static,8,2,2,0.271043
static,8,2,1,0.088964
static,8,2,2,0.270847
static,8,2,1,0.088730
static,8,2,2,0.271076
static,8,2,1,0.088685
static,8,2,2,0.267614
static,8,2,1,0.088875
static,8,2,2,0.266464
static,8,2,1,0.088884
static,8,2,2,0.271157
static,8,2,1,0.088725
static,8,2,2,0.272747
static,8,2,1,0.088721
static,8,2,2,0.270267
static,8,2,1,0.088697
static,8,2,2,0.266495
static,8,2,1,0.088817
static,8,2,2,0.266722
static,8,2,1,0.089259
static,8,2,2,0.271631
static,8,2,1,0.088798
static,8,2,2,0.271223
static,8,2,1,0.088753
static,8,2,2,0.269709
static,8,2,1,0.088683
static,8,2,2,0.266471
static,8,2,1,0.089609
static,8,2,2,0.272534
static,8,2,1,0.088779
static,8,2,2,0.270275
static,8,2,1,0.088737
static,8,2,2,0.269239
static,8,3,1,0.061668
static,8,3,2,0.188344
static,8,3,1,0.061635
static,8,3,2,0.188491
static,8,3,1,0.061701
static,8,3,2,0.188437
static,8,3,1,0.061725
static,8,3,2,0.188310
static,8,3,1,0.061812
static,8,3,2,0.188341
static,8,3,1,0.061802
static,8,3,2,0.190768
static,8,3,1,0.061700
static,8,3,2,0.188275
static,8,3,1,0.061779
static,8,3,2,0.188259
static,8,3,1,0.061897
static,8,3,2,0.190716
static,8,3,1,0.061757
static,8,3,2,0.188975
static,8,3,1,0.061777
static,8,3,2,0.188252
static,8,3,1,0.061745
static,8,3,2,0.189498
static,8,3,1,0.061770
static,8,3,2,0.189236
static,8,3,1,0.061694
static,8,3,2,0.188382
static,8,3,1,0.061710
static,8,3,2,0.188369
static,8,3,1,0.061739
static,8,3,2,0.189664
static,8,3,1,0.061711
static,8,3,2,0.188421
static,8,3,1,0.061705
static,8,3,2,0.191659
static,8,3,1,0.061691
static,8,3,2,0.189086
static,8,3,1,0.061699
static,8,3,2,0.188336
static,8,6,1,0.035019
static,8,6,2,0.129600
static,8,6,1,0.035027
static,8,6,2,0.129983
static,8,6,1,0.035180
static,8,6,2,0.129556
static,8,6,1,0.035058
static,8,6,2,0.131540
static,8,6,1,0.035060
static,8,6,2,0.129582
